Zip,Hour,Number of Trips
6807,19,1
7002,20,1
7014,20,1
7030,0,1
7030,1,2
7030,4,1
7030,5,1
7030,11,1
7030,13,2
7030,17,1
7030,19,2
7030,20,1
7030,21,2
7030,22,4
7030,23,1
7039,18,1
7040,20,1
7042,1,1
7045,21,1
7050,9,1
7050,22,1
7072,19,1
7072,22,1
7073,14,1
7074,10,1
7078,17,1
7080,14,1
7086,18,1
7087,1,1
7087,6,1
7087,10,1
7087,13,1
7087,14,1
7087,19,1
7094,12,1
7094,23,1
7102,0,1
7102,2,1
7103,8,1
7114,0,2
7114,1,1
7114,4,1
7114,6,2
7114,7,2
7114,8,2
7114,9,2
7114,10,3
7114,11,2
7114,12,5
7114,13,5
7114,14,4
7114,15,6
7114,16,5
7114,17,1
7114,18,7
7114,19,3
7114,20,3
7114,21,1
7114,22,4
7114,23,6
7201,11,1
7202,6,1
7302,1,1
7302,3,1
7302,4,1
7302,7,1
7302,22,1
7304,15,1
7306,11,1
7306,22,1
7307,7,1
7307,22,1
7310,0,1
7310,1,1
7310,3,1
7310,5,2
7310,6,4
7310,7,1
7310,12,1
7310,14,1
7310,16,1
7310,18,1
7310,19,2
7310,20,1
7310,21,1
7310,22,3
7310,23,1
7311,3,1
7311,5,1
7311,16,1
7311,17,1
7311,18,1
7311,20,1
7311,21,1
7311,22,1
7405,1,1
7432,13,1
7458,13,1
7458,20,1
7463,23,1
7508,11,1
7508,21,1
7601,23,1
7604,5,1
7605,10,1
7631,5,1
7631,23,1
7632,9,1
7644,9,1
7644,20,1
7660,18,2
7704,22,1
7720,21,1
7756,22,1
7940,14,1
7960,20,1
8536,13,1
8542,1,1
8830,14,1
8837,15,1
8904,16,1
10001,0,9
10001,1,5
10001,2,3
10001,3,5
10001,4,5
10001,5,4
10001,6,11
10001,7,11
10001,8,13
10001,9,6
10001,10,15
10001,11,7
10001,12,16
10001,13,22
10001,14,26
10001,15,26
10001,16,36
10001,17,36
10001,18,44
10001,19,43
10001,20,25
10001,21,22
10001,22,26
10001,23,24
10002,0,18
10002,1,13
10002,2,6
10002,3,4
10002,4,6
10002,5,6
10002,6,13
10002,7,20
10002,8,20
10002,9,14
10002,10,14
10002,11,6
10002,12,22
10002,13,10
10002,14,18
10002,15,17
10002,16,12
10002,17,17
10002,18,22
10002,19,16
10002,20,13
10002,21,17
10002,22,22
10002,23,18
10003,0,17
10003,1,10
10003,2,6
10003,3,4
10003,4,9
10003,5,9
10003,6,11
10003,7,13
10003,8,16
10003,9,12
10003,10,10
10003,11,9
10003,12,16
10003,13,12
10003,14,17
10003,15,26
10003,16,30
10003,17,33
10003,18,24
10003,19,23
10003,20,28
10003,21,20
10003,22,23
10003,23,33
10005,0,2
10005,3,4
10005,4,1
10005,7,1
10005,10,2
10005,11,2
10005,12,2
10005,13,3
10005,14,4
10005,15,6
10005,16,2
10005,17,4
10005,18,6
10005,19,4
10005,20,5
10005,21,3
10005,22,5
10005,23,2
10006,3,1
10006,4,1
10006,6,1
10006,8,3
10006,9,1
10006,11,2
10006,12,4
10006,13,1
10006,14,3
10006,15,3
10006,16,3
10006,17,2
10006,18,4
10006,19,6
10006,20,4
10006,21,5
10006,23,1
10007,0,2
10007,1,1
10007,3,2
10007,5,2
10007,6,2
10007,7,2
10007,8,3
10007,9,1
10007,10,4
10007,11,3
10007,12,2
10007,13,6
10007,14,5
10007,15,5
10007,16,7
10007,17,10
10007,18,9
10007,19,7
10007,20,6
10007,21,7
10007,22,5
10007,23,2
10009,0,12
10009,1,6
10009,2,1
10009,3,6
10009,4,2
10009,5,4
10009,6,13
10009,7,20
10009,8,21
10009,9,12
10009,10,9
10009,11,3
10009,12,4
10009,13,6
10009,14,5
10009,15,7
10009,16,5
10009,17,12
10009,18,8
10009,19,12
10009,20,14
10009,21,9
10009,22,17
10009,23,12
10011,0,13
10011,1,13
10011,2,3
10011,3,7
10011,4,9
10011,5,14
10011,6,19
10011,7,33
10011,8,19
10011,9,18
10011,10,13
10011,11,18
10011,12,21
10011,13,14
10011,14,36
10011,15,49
10011,16,46
10011,17,51
10011,18,48
10011,19,41
10011,20,39
10011,21,33
10011,22,30
10011,23,23
10012,0,16
10012,1,9
10012,2,7
10012,3,2
10012,4,6
10012,5,10
10012,6,13
10012,7,17
10012,8,23
10012,9,16
10012,10,19
10012,11,18
10012,12,17
10012,13,22
10012,14,32
10012,15,43
10012,16,33
10012,17,34
10012,18,37
10012,19,34
10012,20,47
10012,21,39
10012,22,42
10012,23,32
10013,0,5
10013,1,1
10013,2,1
10013,3,3
10013,4,4
10013,5,4
10013,6,6
10013,7,8
10013,8,7
10013,9,9
10013,10,7
10013,11,10
10013,12,7
10013,13,7
10013,14,14
10013,15,8
10013,16,17
10013,17,13
10013,18,15
10013,19,14
10013,20,15
10013,21,13
10013,22,16
10013,23,15
10014,0,17
10014,1,13
10014,2,6
10014,3,10
10014,4,5
10014,5,7
10014,6,10
10014,7,12
10014,8,12
10014,9,4
10014,10,9
10014,11,10
10014,12,9
10014,13,12
10014,14,12
10014,15,16
10014,16,16
10014,17,19
10014,18,18
10014,19,24
10014,20,19
10014,21,34
10014,22,24
10014,23,22
10016,0,1
10016,3,1
10016,5,4
10016,6,5
10016,7,4
10016,8,4
10016,9,4
10016,10,5
10016,11,3
10016,14,6
10016,15,8
10016,16,3
10016,17,6
10016,18,9
10016,19,3
10016,20,4
10016,21,5
10016,22,5
10016,23,4
10017,0,5
10017,1,2
10017,2,2
10017,3,1
10017,4,3
10017,5,5
10017,6,2
10017,7,14
10017,8,9
10017,9,6
10017,10,10
10017,11,10
10017,12,7
10017,13,6
10017,14,14
10017,15,11
10017,16,16
10017,17,23
10017,18,24
10017,19,13
10017,20,13
10017,21,11
10017,22,8
10017,23,9
10018,0,9
10018,1,5
10018,2,7
10018,3,8
10018,4,1
10018,5,5
10018,6,6
10018,7,22
10018,8,10
10018,9,8
10018,10,12
10018,11,7
10018,12,17
10018,13,10
10018,14,15
10018,15,14
10018,16,19
10018,17,13
10018,18,19
10018,19,16
10018,20,22
10018,21,31
10018,22,12
10018,23,7
10019,0,2
10019,1,1
10019,2,3
10019,4,3
10019,5,4
10019,6,8
10019,7,8
10019,8,9
10019,9,9
10019,10,12
10019,11,7
10019,12,3
10019,13,9
10019,14,14
10019,15,12
10019,16,11
10019,17,10
10019,18,8
10019,19,10
10019,20,10
10019,21,9
10019,22,6
10019,23,4
10020,1,1
10020,2,1
10020,3,2
10020,5,1
10020,6,1
10020,7,1
10020,8,3
10020,9,1
10020,10,3
10020,11,4
10020,12,5
10020,13,4
10020,14,7
10020,15,7
10020,16,16
10020,17,11
10020,18,8
10020,19,15
10020,20,17
10020,21,17
10020,22,5
10020,23,4
10021,0,2
10021,2,2
10021,3,1
10021,4,1
10021,5,4
10021,6,11
10021,7,17
10021,8,22
10021,9,13
10021,10,5
10021,11,14
10021,12,7
10021,13,12
10021,14,11
10021,15,25
10021,16,22
10021,17,14
10021,18,18
10021,19,11
10021,20,6
10021,21,6
10021,22,6
10022,0,1
10022,1,2
10022,4,2
10022,6,2
10022,7,5
10022,8,3
10022,9,3
10022,10,3
10022,11,8
10022,12,5
10022,13,6
10022,14,10
10022,15,13
10022,16,20
10022,17,17
10022,18,16
10022,19,11
10022,20,12
10022,21,9
10022,22,5
10022,23,2
10023,0,2
10023,2,2
10023,3,1
10023,4,3
10023,5,7
10023,6,13
10023,7,16
10023,8,21
10023,9,7
10023,10,6
10023,11,8
10023,12,5
10023,13,8
10023,14,9
10023,15,16
10023,16,18
10023,17,7
10023,18,22
10023,19,5
10023,20,4
10023,21,4
10023,22,9
10023,23,4
10024,17,1
10024,18,1
10025,3,2
10025,5,2
10025,6,2
10025,7,2
10025,8,5
10025,9,2
10025,10,2
10025,11,4
10025,12,4
10025,13,1
10025,14,1
10025,16,2
10025,17,5
10025,18,8
10025,19,2
10025,20,3
10025,21,3
10025,22,2
10026,1,1
10026,3,1
10026,5,2
10026,6,1
10026,7,2
10026,8,1
10026,10,3
10026,11,2
10026,13,2
10026,15,3
10026,16,2
10026,17,3
10026,19,2
10026,20,4
10026,21,2
10026,22,4
10027,1,1
10027,5,1
10027,6,1
10027,7,2
10027,11,1
10027,12,1
10027,14,2
10027,15,1
10027,16,2
10027,17,5
10027,18,1
10027,19,1
10027,20,2
10027,22,1
10028,0,4
10028,3,2
10028,4,2
10028,5,3
10028,6,19
10028,7,28
10028,8,25
10028,9,6
10028,10,7
10028,11,8
10028,12,7
10028,13,10
10028,14,12
10028,15,15
10028,16,7
10028,17,18
10028,18,13
10028,19,8
10028,20,8
10028,21,12
10028,22,8
10028,23,5
10029,1,1
10029,4,1
10029,6,1
10029,7,4
10029,8,2
10029,9,2
10029,10,2
10029,11,1
10029,13,2
10029,14,3
10029,15,3
10029,17,3
10029,18,3
10029,19,5
10029,20,1
10029,21,4
10029,22,2
10029,23,1
10030,3,1
10030,4,1
10030,5,1
10030,7,1
10030,9,3
10030,10,3
10030,12,1
10030,16,1
10030,19,1
10030,20,2
10030,21,2
10030,23,2
10031,4,1
10031,6,2
10031,19,1
10031,21,1
10031,23,1
10032,0,2
10032,2,1
10032,5,2
10032,6,1
10032,9,2
10032,10,1
10032,11,1
10032,12,1
10032,13,1
10032,14,2
10032,17,1
10032,21,2
10034,1,1
10034,6,1
10034,8,1
10034,9,1
10034,11,1
10034,15,1
10034,20,1
10034,22,3
10034,23,1
10035,1,1
10035,5,1
10035,6,1
10035,8,1
10035,9,1
10035,11,1
10035,13,2
10035,14,2
10035,15,1
10035,16,2
10035,17,1
10035,18,1
10035,19,2
10035,21,2
10035,22,3
10037,2,2
10037,11,1
10037,20,2
10037,21,1
10038,1,1
10038,5,1
10038,6,2
10038,7,6
10038,9,2
10038,10,2
10038,11,6
10038,13,2
10038,14,1
10038,15,4
10038,16,4
10038,17,3
10038,18,6
10038,20,4
10038,21,1
10038,22,4
10039,10,1
10039,11,1
10039,12,1
10039,19,1
10039,20,1
10039,21,1
10044,0,2
10044,1,3
10044,2,2
10044,4,2
10044,5,1
10044,6,6
10044,7,9
10044,8,6
10044,9,8
10044,10,2
10044,11,4
10044,12,2
10044,13,2
10044,14,2
10044,15,3
10044,16,5
10044,17,10
10044,18,9
10044,19,6
10044,20,5
10044,21,2
10044,22,2
10044,23,1
10065,0,1
10065,1,1
10065,4,2
10065,5,1
10065,6,4
10065,7,9
10065,8,7
10065,9,9
10065,10,16
10065,11,5
10065,12,7
10065,13,4
10065,14,8
10065,15,17
10065,16,14
10065,17,19
10065,18,11
10065,19,7
10065,20,8
10065,21,5
10065,22,6
10065,23,2
10069,1,1
10069,3,1
10069,4,1
10069,6,6
10069,7,4
10069,8,5
10069,9,1
10069,10,4
10069,11,1
10069,12,3
10069,13,3
10069,14,2
10069,15,1
10069,16,3
10069,17,5
10069,18,3
10069,19,1
10069,20,1
10069,21,2
10069,22,3
10069,23,1
10103,1,1
10103,3,3
10103,4,2
10103,5,2
10103,6,3
10103,7,3
10103,8,3
10103,9,4
10103,10,7
10103,11,6
10103,12,7
10103,13,9
10103,14,6
10103,15,13
10103,16,15
10103,17,16
10103,18,23
10103,19,10
10103,20,15
10103,21,11
10103,22,6
10103,23,7
10110,0,4
10110,1,3
10110,3,1
10110,4,4
10110,6,4
10110,7,3
10110,8,7
10110,9,10
10110,10,7
10110,11,8
10110,12,8
10110,13,13
10110,14,14
10110,15,18
10110,16,29
10110,17,26
10110,18,25
10110,19,28
10110,20,19
10110,21,16
10110,22,9
10110,23,10
10111,0,1
10111,4,1
10111,6,1
10111,8,2
10111,9,1
10111,11,7
10111,12,5
10111,13,2
10111,14,10
10111,15,10
10111,16,11
10111,17,6
10111,18,6
10111,19,7
10111,20,12
10111,21,6
10111,22,1
10111,23,2
10112,9,1
10112,10,1
10112,11,1
10112,12,2
10112,13,2
10112,14,1
10112,15,2
10112,16,4
10112,18,3
10112,19,2
10112,20,2
10112,21,1
10112,22,1
10112,23,1
10115,9,1
10115,13,2
10115,14,1
10115,16,2
10115,20,1
10115,21,2
10115,22,3
10115,23,1
10119,0,5
10119,3,1
10119,7,1
10119,8,6
10119,9,8
10119,10,2
10119,11,8
10119,12,6
10119,13,8
10119,14,8
10119,15,8
10119,16,10
