Zip,Weekday,Number of Trips
6514,0,1
6807,3,1
6830,0,1
6830,1,1
6830,3,2
6830,5,1
6878,1,1
6901,0,3
6901,1,1
6901,2,1
6901,3,1
6901,4,2
6902,5,2
7001,1,1
7002,0,2
7002,2,1
7002,3,1
7002,4,5
7002,5,2
7002,6,3
7003,1,1
7003,3,1
7004,2,2
7006,1,1
7008,0,1
7008,1,1
7008,6,1
7009,3,1
7010,0,1
7010,1,1
7010,2,2
7010,4,1
7010,5,1
7012,1,1
7012,2,1
7012,4,1
7013,0,1
7013,5,1
7014,1,1
7014,4,2
7014,5,1
7016,5,2
7016,6,1
7020,0,3
7020,1,2
7020,2,1
7020,3,2
7020,4,1
7020,5,1
7020,6,2
7021,2,1
7022,4,1
7023,1,1
7023,5,1
7023,6,1
7024,0,3
7024,1,2
7024,2,1
7024,3,3
7024,4,4
7024,5,4
7024,6,1
7026,4,1
7028,0,1
7028,2,1
7028,3,1
7028,4,1
7029,3,3
7029,5,1
7029,6,1
7030,0,22
7030,1,19
7030,2,22
7030,3,33
7030,4,46
7030,5,65
7030,6,61
7031,5,1
7033,4,1
7039,0,1
7039,2,1
7039,3,1
7039,5,1
7039,6,1
7040,2,1
7040,4,1
7040,6,1
7042,0,1
7042,1,1
7042,2,1
7042,5,3
7043,1,3
7043,3,1
7044,6,1
7045,3,1
7046,0,1
7046,2,1
7047,0,2
7047,1,1
7047,2,2
7047,5,1
7047,6,2
7050,1,1
7050,2,2
7052,0,2
7052,1,2
7052,2,1
7052,3,1
7052,5,1
7052,6,1
7058,5,1
7062,1,1
7065,0,1
7066,3,1
7068,1,1
7068,3,2
7069,0,1
7070,2,2
7070,3,2
7070,4,1
7070,5,1
7072,0,1
7072,1,1
7072,2,4
7072,3,3
7072,4,2
7072,5,4
7072,6,5
7073,0,1
7073,4,1
7073,5,1
7074,0,1
7075,0,1
7075,4,1
7075,6,2
7078,1,1
7078,2,2
7078,4,2
7078,5,2
7079,2,2
7079,4,2
7079,6,1
7080,2,1
7081,3,1
7081,4,1
7081,5,1
7083,0,1
7083,4,1
7083,5,1
7086,0,4
7086,1,1
7086,2,1
7086,3,3
7086,4,4
7086,5,4
7086,6,4
7087,1,3
7087,2,3
7087,3,4
7087,4,3
7087,5,5
7087,6,5
7088,0,1
7088,5,1
7090,1,2
7093,0,2
7093,1,1
7093,2,1
7093,3,1
7093,4,3
7093,5,8
7093,6,5
7094,0,3
7094,1,6
7094,2,6
7094,3,1
7094,4,3
7094,5,2
7094,6,2
7095,3,1
7102,0,6
7102,1,9
7102,2,6
7102,3,11
7102,4,4
7102,5,4
7102,6,4
7103,2,2
7104,4,1
7105,3,1
7105,4,2
7105,5,2
7106,2,1
7106,3,2
7106,5,2
7108,0,1
7110,4,1
7110,5,1
7110,6,2
7111,0,1
7111,3,1
7111,4,2
7112,0,1
7112,3,1
7114,0,130
7114,1,112
7114,2,96
7114,3,110
7114,4,102
7114,5,46
7114,6,119
7201,0,3
7201,1,2
7201,2,1
7201,3,3
7201,5,2
7201,6,1
7202,0,1
7202,2,1
7202,6,1
7203,0,2
7204,2,1
7205,4,2
7205,6,1
7206,2,1
7206,3,1
7206,6,1
7208,0,1
7208,2,1
7208,3,1
7208,4,1
7302,0,15
7302,1,11
7302,2,6
7302,3,10
7302,4,19
7302,5,7
7302,6,16
7304,0,4
7304,1,2
7304,2,1
7304,3,7
7304,4,4
7304,5,3
7304,6,5
7305,1,1
7305,2,1
7305,3,2
7305,5,2
7305,6,1
7306,0,5
7306,1,6
7306,2,3
7306,3,3
7306,4,7
7306,5,7
7306,6,4
7307,1,5
7307,2,3
7307,3,2
7307,4,7
7307,5,4
7307,6,6
7310,0,15
7310,1,23
7310,2,20
7310,3,38
7310,4,29
7310,5,45
7310,6,45
7311,0,11
7311,1,15
7311,2,22
7311,3,16
7311,4,17
7311,5,16
7311,6,16
7401,3,1
7407,5,1
7410,3,1
7417,5,1
7423,6,1
7430,2,1
7432,5,1
7436,2,1
7444,1,1
7446,0,1
7446,4,2
7450,1,1
7450,3,2
7452,5,1
7458,3,2
7458,5,1
7463,3,1
7463,4,1
7463,6,1
7470,0,1
7470,2,1
7501,3,1
7503,4,1
7503,6,1
7512,3,1
7512,4,1
7512,5,1
7601,2,4
7601,3,3
7601,4,3
7603,0,1
7603,1,1
7603,4,2
7604,0,1
7604,5,1
7604,6,1
7605,1,1
7605,5,1
7605,6,1
7606,1,1
7606,2,1
7606,6,1
7607,6,1
7608,0,2
7608,3,1
7626,0,1
7626,5,1
7626,6,1
7627,2,1
7627,4,1
7631,0,1
7631,1,2
7631,2,1
7631,3,5
7631,4,2
7631,5,3
7631,6,2
7632,0,1
7632,2,2
7632,3,3
7632,4,4
7644,4,1
7645,6,2
7647,2,1
7647,4,1
7648,0,1
7648,5,1
7650,3,1
7650,4,1
7652,0,1
7652,3,1
7652,5,1
7652,6,1
7660,0,1
7660,1,1
7660,3,3
7660,6,1
7661,1,1
7661,5,1
7662,3,1
7663,1,1
7666,5,1
7666,6,2
7670,1,1
7670,2,1
7670,3,1
7670,6,2
7675,6,1
7676,5,2
