Zip,Weekday,Number of Trips
6830,3,1
7002,3,1
7010,3,1
7012,3,1
7017,1,1
7020,1,1
7020,2,1
7024,0,1
7024,4,1
7024,5,1
7030,0,4
7030,1,2
7030,2,2
7030,3,2
7030,4,4
7030,5,9
7030,6,3
7032,0,1
7052,5,1
7063,6,1
7068,5,1
7070,1,1
7070,3,1
7070,5,1
7072,2,1
7072,5,1
7073,3,1
7074,3,1
7086,1,1
7086,4,1
7087,2,1
7087,6,1
7093,1,1
7093,2,1
7093,5,1
7093,6,1
7094,1,1
7094,3,1
7102,1,6
7102,3,1
7102,4,1
7102,5,1
7102,6,1
7112,2,1
7114,0,14
7114,1,11
7114,2,8
7114,3,20
7114,4,6
7114,5,2
7114,6,17
7201,1,1
7204,6,1
7206,2,1
7302,0,1
7302,1,2
7302,2,2
7302,4,3
7302,5,2
7302,6,1
7304,6,2
7305,3,1
7305,5,1
7306,0,1
7307,2,1
7307,5,1
7310,0,1
7310,1,1
7310,2,2
7310,3,3
7310,4,6
7310,5,3
7310,6,4
7311,0,1
7311,1,1
7311,2,1
7311,3,6
7311,5,2
7452,5,1
7470,5,1
7506,5,1
7514,6,1
7601,4,1
7604,1,1
7604,4,1
7606,3,1
7608,1,1
7632,0,1
7632,2,1
7660,6,1
7670,2,1
7717,4,1
7755,6,1
7960,4,1
8817,4,1
8830,4,1
8837,2,1
10001,0,56
10001,1,82
10001,2,78
10001,3,83
10001,4,65
10001,5,46
10001,6,49
10002,0,38
10002,1,33
10002,2,66
10002,3,44
10002,4,69
10002,5,62
10002,6,53
10003,0,34
10003,1,55
10003,2,57
10003,3,73
10003,4,65
10003,5,64
10003,6,49
10004,1,1
10004,2,1
10005,0,4
10005,1,16
10005,2,6
10005,3,13
10005,4,15
10005,5,8
10005,6,2
10006,0,10
10006,1,2
10006,2,6
10006,3,6
10006,4,12
10006,5,7
10006,6,4
10007,0,5
10007,1,8
10007,2,9
10007,3,9
10007,4,17
10007,5,17
10007,6,7
10009,0,29
10009,1,29
10009,2,30
10009,3,31
10009,4,50
10009,5,42
10009,6,18
10011,0,47
10011,1,90
10011,2,83
10011,3,109
10011,4,110
10011,5,82
10011,6,55
10012,0,73
10012,1,84
10012,2,97
10012,3,93
10012,4,77
10012,5,86
10012,6,47
10013,0,32
10013,1,38
10013,2,43
10013,3,36
10013,4,42
10013,5,27
10013,6,19
10014,0,41
10014,1,49
10014,2,56
10014,3,66
10014,4,56
10014,5,61
10014,6,39
10016,0,13
10016,1,11
10016,2,5
10016,3,17
10016,4,17
10016,5,11
10016,6,12
10017,0,30
10017,1,39
10017,2,29
10017,3,49
10017,4,32
10017,5,34
10017,6,24
10018,0,31
10018,1,47
10018,2,46
10018,3,57
10018,4,52
10018,5,57
10018,6,30
10019,0,25
10019,1,25
10019,2,28
10019,3,33
10019,4,30
10019,5,27
10019,6,19
10020,0,9
10020,1,32
10020,2,29
10020,3,16
10020,4,19
10020,5,13
10020,6,7
10021,0,38
10021,1,35
10021,2,45
10021,3,52
10021,4,46
10021,5,32
10021,6,13
10022,0,14
10022,1,23
10022,2,39
10022,3,28
10022,4,25
10022,5,20
10022,6,12
10023,0,19
