Zip,Weekday,Hour,Number of Trips
10018,2,11,1
10018,3,8,1
10018,3,15,1
10018,3,21,1
10018,4,7,1
10018,4,13,1
10018,4,15,2
10018,4,16,1
10018,5,11,1
10018,5,22,1
10018,6,2,2
10018,6,13,1
10019,0,6,1
10019,1,10,1
10019,1,14,1
10019,2,18,1
10019,2,19,1
10019,3,16,1
10019,4,8,1
10019,4,9,1
10019,4,18,1
10019,5,15,2
10019,5,17,1
10019,5,21,2
10019,6,10,1
10019,6,16,1
10020,0,19,1
10020,0,21,1
10020,1,7,1
10020,1,18,1
10020,1,21,1
10020,2,16,1
10020,3,12,1
10020,3,23,1
10020,4,12,1
10020,4,18,1
10020,5,15,1
10021,1,9,1
10021,1,12,1
10021,1,17,1
10021,1,19,1
10021,2,16,1
10021,2,17,1
10021,2,22,1
10021,3,5,1
10021,3,8,1
10021,3,9,1
10021,3,13,1
10021,3,20,1
10021,4,7,1
10021,4,10,1
10021,4,18,1
10021,5,4,1
10021,5,18,1
10021,6,12,1
10022,0,12,1
10022,0,14,1
10022,0,16,1
10022,0,18,1
10022,2,14,1
10022,2,17,1
10022,2,19,2
10022,3,19,1
10022,4,11,1
10022,4,13,1
10022,4,14,1
10022,6,1,1
10022,6,17,1
10023,0,8,1
10023,0,10,1
10023,1,7,2
10023,1,8,2
10023,1,13,1
10023,1,15,1
10023,2,7,1
10023,2,11,1
10023,2,12,1
10023,2,13,1
10023,3,8,2
10023,3,15,1
10023,3,16,1
10023,3,17,1
10023,3,22,1
10023,4,15,1
10023,4,21,1
10023,5,19,1
10023,6,8,1
10023,6,10,1
10023,6,13,1
10023,6,14,2
10023,6,18,1
10025,0,13,1
10025,0,23,1
10025,2,7,1
10025,5,14,1
10025,6,12,1
10026,4,22,1
10026,4,23,1
10026,5,0,1
10027,2,20,1
10028,0,8,1
10028,0,10,1
10028,0,18,2
10028,0,19,1
10028,1,7,1
10028,2,6,1
10028,2,9,1
10028,3,7,2
10028,3,14,1
10028,4,13,1
10028,4,17,1
10028,5,4,1
10029,0,19,1
10029,1,11,1
10029,3,21,1
10029,4,4,1
10029,5,23,1
10030,3,6,1
10030,6,21,1
10031,0,7,1
10032,5,11,1
10032,5,12,1
10032,5,18,1
10034,0,21,1
10035,2,20,1
10035,5,17,1
10035,6,8,1
10037,1,3,1
10037,2,19,1
10038,1,8,1
10038,1,23,1
10038,2,4,1
10038,3,16,1
10038,4,9,1
10038,5,22,1
10039,2,6,1
10039,5,22,1
10044,0,7,1
10044,2,14,1
10044,4,15,1
10044,5,16,1
10044,6,16,1
10044,6,18,1
10065,0,7,1
10065,1,8,1
10065,1,9,1
10065,1,11,1
10065,2,7,1
10065,2,11,1
10065,2,12,1
10065,2,14,1
10065,3,12,1
10065,3,16,1
10065,4,11,1
10065,4,15,1
10065,6,7,1
10069,0,11,1
10069,2,6,1
10069,2,12,1
10069,5,11,1
10069,5,16,1
10069,5,17,1
10069,6,20,1
10103,0,19,1
10103,1,16,1
10103,1,17,1
10103,2,6,1
10103,2,11,1
10103,2,16,1
10103,2,19,1
10103,3,7,1
10103,3,14,1
10103,3,16,4
10103,3,17,2
10103,5,21,1
10103,6,17,1
10103,6,22,1
10110,0,10,1
10110,0,17,3
10110,0,18,1
10110,1,8,1
10110,1,12,1
10110,1,14,1
10110,1,17,1
10110,1,18,2
10110,1,20,1
10110,2,6,1
10110,2,9,1
10110,2,13,1
10110,2,15,1
10110,2,16,1
10110,2,17,2
10110,2,19,1
10110,3,8,1
10110,3,14,1
10110,3,15,1
10110,3,16,1
10110,3,17,1
10110,3,19,1
10110,3,20,1
10110,4,7,1
10110,4,16,1
10110,4,17,1
10110,4,18,1
10110,4,21,1
10110,5,8,1
10110,5,14,1
10110,5,16,1
10110,5,18,1
10110,5,19,1
10110,6,17,1
10111,0,11,1
10111,0,12,1
10111,1,14,1
10111,1,16,1
10111,1,20,1
10111,2,19,1
10111,3,16,1
10111,6,20,1
10112,2,23,1
10112,4,11,1
10112,4,20,1
10115,6,3,1
10115,6,11,1
10119,0,14,1
10119,0,18,1
10119,1,5,1
10119,1,8,1
10119,1,21,1
10119,2,18,1
10119,3,16,1
10119,3,22,1
10119,5,19,1
10152,1,18,1
10152,2,15,1
10152,2,17,2
10152,2,19,1
10152,3,19,2
10152,4,18,1
10153,0,18,2
10153,0,22,1
10153,1,8,1
10153,1,9,1
10153,1,11,1
10153,1,17,5
10153,1,19,1
10153,2,9,1
10153,2,16,1
10153,2,18,2
10153,2,20,1
10153,2,22,1
10153,3,11,1
10153,3,14,1
10153,3,15,1
10153,3,18,1
10153,4,6,1
10153,4,15,1
10153,4,21,1
10153,6,8,1
10154,0,19,1
10154,1,13,1
10154,2,18,2
10154,3,18,1
10154,4,14,1
10154,4,17,1
10154,5,8,1
10154,5,10,1
10154,5,11,1
10162,0,11,1
10162,1,7,1
10162,1,14,1
10162,1,22,1
10162,2,18,1
10162,2,19,1
10162,3,7,1
10162,3,8,1
10162,3,14,1
10162,4,9,1
10162,5,23,1
10167,0,14,1
10167,0,20,2
10167,1,19,2
10167,3,16,1
10167,3,17,1
10167,3,19,2
10171,0,10,1
10171,0,18,2
10171,1,17,1
10171,1,18,2
10171,1,19,1
10171,2,6,1
10171,3,18,1
10171,3,20,1
10171,5,10,1
10171,5,17,1
10199,0,15,1
10199,1,14,1
10199,1,16,1
10199,1,17,1
10199,1,19,1
10199,1,20,1
10199,1,21,1
10199,2,5,1
10199,2,9,1
10199,2,12,1
10199,2,18,1
10199,2,21,1
10199,3,15,2
10199,4,15,1
10199,4,17,1
10199,5,8,1
10199,5,10,1
10199,5,12,1
10199,5,16,1
10199,5,21,1
10199,6,11,1
10199,6,18,1
10271,0,4,1
10271,0,22,1
10271,1,11,1
10271,1,12,1
10271,3,15,1
10271,4,14,1
10271,6,19,1
10278,0,16,1
10278,0,19,1
10278,1,7,1
10278,1,15,1
10278,1,19,1
10278,1,20,1
10278,1,23,1
10278,2,13,1
10278,2,15,1
10278,2,17,2
10278,3,15,1
10278,3,16,1
10278,3,18,1
10278,3,19,1
10278,4,20,1
10278,4,23,1
10278,5,9,1
10278,6,10,1
10278,6,16,1
10280,2,19,1
10280,5,17,1
10282,0,16,1
10282,2,16,1
10282,2,18,1
10282,4,21,1
10282,5,2,1
10282,5,4,1
10282,5,8,1
10282,5,15,1
10282,6,0,2
10282,6,14,1
10455,6,23,1
10456,4,2,1
10458,5,21,1
10472,5,15,1
10595,5,14,1
10601,0,17,1
10801,4,18,1
11004,0,8,1
11101,1,15,1
11101,2,14,1
11101,2,20,1
11101,6,4,1
11102,3,20,1
11102,4,5,1
11102,4,22,1
11102,5,23,1
11103,2,11,1
11103,6,21,1
11105,3,21,1
11106,2,20,1
11109,4,9,1
11109,5,9,1
11109,5,21,1
11201,0,19,1
11201,1,19,1
11201,2,18,1
11201,3,8,1
11201,4,4,1
11201,4,16,1
11201,5,0,1
11201,5,15,1
11201,5,19,2
11201,5,21,1
11201,6,12,2
11201,6,13,1
11201,6,18,1
11205,0,15,1
11205,0,17,1
11205,1,18,1
11205,5,23,1
11205,6,16,1
11205,6,20,1
11206,0,17,1
11206,0,18,1
11206,6,0,1
11207,1,7,1
11209,2,9,1
11209,2,11,1
11210,0,7,1
11210,1,16,1
11210,2,22,1
11210,3,19,1
11211,0,8,1
11211,0,21,1
11211,1,5,1
11211,1,13,1
11211,1,23,1
11211,2,11,1
11211,2,21,1
11211,3,8,1
11211,4,6,1
11211,4,13,1
11211,4,18,1
11211,4,19,1
11211,4,20,1
11211,4,21,1
11211,4,22,1
11211,4,23,1
11211,5,0,1
11211,5,1,1
11211,5,2,1
11211,5,7,1
11211,5,8,1
11211,5,17,1
11211,5,19,1
11211,6,0,1
11211,6,1,1
11211,6,8,1
11211,6,14,1
11211,6,15,1
11211,6,16,2
11211,6,20,1
11211,6,21,1
11213,1,12,1
11213,4,7,1
11213,5,19,1
11214,6,19,1
11215,1,19,1
11215,4,7,1
11215,6,18,1
11216,1,8,1
11216,6,2,1
11217,2,21,1
11217,3,8,1
11217,3,15,1
11217,3,18,1
11217,3,22,1
11217,4,5,1
11217,4,19,1
11217,4,20,1
11217,5,17,1
11217,6,0,1
11218,4,17,1
11220,6,16,1
11221,0,17,1
11221,0,21,1
11221,1,13,1
11221,4,19,1
11221,4,23,1
11221,5,10,1
11221,6,1,1
11222,0,1,1
11222,0,21,1
11222,0,23,1
11222,1,7,1
11222,1,17,1
11222,2,16,1
11222,2,23,1
11222,4,6,1
11222,5,3,1
11222,5,17,1
11222,5,22,1
11222,6,1,1
11223,0,20,1
11225,1,7,1
11229,5,22,1
11230,0,7,1
11230,2,12,1
11231,1,14,1
11231,1,17,1
11231,2,19,1
11231,3,8,1
11231,3,22,1
11233,6,12,1
11235,0,0,1
11237,0,12,1
11237,2,9,1
11237,2,22,1
11237,6,10,1
11237,6,16,1
11238,1,12,1
11238,3,21,1
11238,3,22,1
11238,5,8,1
11238,5,11,1
11238,5,21,1
11238,6,22,1
11355,2,5,1
11355,5,21,1
11357,6,14,1
11364,2,13,1
11364,3,22,1
11367,5,12,1
11370,2,15,1
11371,0,9,1
11371,0,10,1
11371,0,12,1
11371,0,17,1
11371,0,22,1
11371,1,7,1
11371,1,14,1
11371,1,20,1
11371,2,16,1
11371,2,18,1
11371,2,22,1
11371,3,10,1
11371,3,23,1
11371,4,9,1
11371,6,20,1
11371,6,21,1
11372,2,6,1
11374,1,8,1
11374,1,11,1
11375,6,10,1
11375,6,16,1
11377,4,8,1
11379,5,12,1
11379,6,19,1
11414,4,20,1
11415,6,8,1
11417,1,16,1
11418,6,2,1
11422,0,7,1
11422,0,9,1
11422,0,14,1
11422,0,15,1
11422,0,16,1
11422,1,18,1
11422,2,16,1
11422,3,0,1
11422,4,5,1
11422,4,6,1
11422,4,14,2
11422,4,19,1
11422,6,18,2
11422,6,19,1
11427,0,23,1
11430,6,23,1
11436,2,17,1
11436,4,15,1
11530,4,21,1
11803,0,10,1
