Zip,Weekday,Hour,Number of Trips
6450,4,10,1
6515,4,9,1
6604,4,13,1
6605,4,9,1
6820,2,20,1
6830,1,20,1
6830,5,4,1
6830,5,16,1
6830,5,22,1
6851,0,21,1
6855,2,0,1
6855,6,13,1
6870,3,22,1
6870,6,2,1
6878,1,21,1
6878,3,2,1
6880,5,15,1
6901,1,21,1
6901,2,22,1
6901,3,11,1
6901,4,23,1
6901,6,16,1
6901,6,22,1
6902,0,23,1
6902,5,9,1
6905,2,15,1
6906,5,18,1
7001,1,0,1
7001,3,18,1
7002,0,14,1
7002,1,11,1
7002,1,12,1
7002,1,13,1
7002,1,18,1
7002,2,8,1
7002,2,10,1
7002,2,14,1
7002,3,10,1
7002,3,12,1
7002,3,13,1
7002,4,9,2
7002,4,10,1
7002,4,14,1
7002,4,17,1
7002,4,18,1
7002,4,19,1
7002,4,20,1
7002,5,10,1
7002,5,17,2
7002,6,13,1
7003,0,4,1
7003,4,6,1
7003,4,23,1
7003,5,16,1
7004,2,15,1
7004,4,22,1
7004,5,0,1
7004,6,8,1
7005,6,18,1
7006,0,6,1
7006,0,10,1
7006,3,20,1
7008,6,22,1
7009,0,12,1
7009,4,20,1
7009,5,3,1
7009,6,16,1
7010,0,5,1
7010,0,13,1
7010,1,21,1
7010,2,13,1
7010,3,5,1
7010,3,13,1
7010,4,13,1
7010,4,21,1
7010,5,0,1
7010,5,12,2
7010,5,15,1
7010,5,16,1
7010,5,20,1
7010,6,2,1
7011,4,5,1
7012,0,12,1
7012,2,15,1
7012,2,16,1
7012,2,18,1
7012,5,19,1
7013,6,3,1
7014,1,0,1
7014,2,15,1
7014,2,21,1
7014,3,9,1
7014,4,16,1
7014,5,10,1
7014,5,12,1
7014,6,23,1
7016,2,3,1
7016,3,20,1
7016,5,0,1
7017,2,9,1
7017,6,5,1
7018,0,13,1
7018,0,15,1
7018,1,16,1
7018,4,16,1
7018,4,21,1
7018,6,13,1
7018,6,20,1
7020,0,16,1
7020,0,20,1
7020,1,22,1
7020,2,6,2
7020,2,8,1
7020,2,12,1
7020,2,14,1
7020,2,19,1
7020,3,8,1
7020,4,19,1
7020,4,23,1
7020,5,1,1
7020,5,12,1
7020,6,1,1
7020,6,12,1
7020,6,16,1
7020,6,17,1
7021,2,19,1
7021,3,19,1
7021,4,21,1
7021,5,22,1
7022,0,22,1
7022,2,15,1
7022,4,14,1
7022,6,2,1
7023,2,2,1
7023,4,23,1
7023,5,18,1
7024,0,11,1
7024,0,15,1
7024,0,18,1
7024,1,10,1
7024,1,14,2
7024,1,20,1
7024,1,22,1
7024,2,3,1
7024,2,5,1
7024,2,7,2
7024,2,10,1
7024,2,15,1
7024,2,17,1
7024,2,23,1
7024,3,6,1
7024,3,7,1
7024,3,11,2
7024,3,12,1
7024,3,13,1
7024,3,14,1
7024,3,19,1
7024,4,7,1
7024,4,9,1
7024,4,13,1
7024,4,14,1
7024,5,0,1
7024,5,1,1
7024,5,3,1
7024,5,5,1
7024,5,8,1
7024,5,17,1
7024,5,21,1
7024,6,14,1
7024,6,15,1
7024,6,16,2
7024,6,22,1
7026,2,6,1
7027,4,17,1
7028,0,8,1
7028,0,17,1
7028,1,14,1
7028,1,19,1
7028,1,20,1
7028,2,6,1
7028,3,10,1
7028,3,14,1
7028,4,7,1
7028,4,13,1
7029,2,14,1
7029,2,16,1
7029,2,21,1
7029,3,14,1
7029,5,11,1
7029,6,17,1
7030,0,3,1
7030,0,4,7
7030,0,5,6
7030,0,6,4
7030,0,8,2
7030,0,9,1
7030,0,10,2
7030,0,12,1
7030,0,13,4
7030,0,14,3
7030,0,15,1
7030,0,17,2
7030,0,18,1
7030,0,19,2
7030,0,20,4
7030,0,21,4
7030,0,22,5
7030,1,0,1
7030,1,1,2
7030,1,3,1
7030,1,4,1
7030,1,5,4
7030,1,6,5
7030,1,7,2
7030,1,8,1
7030,1,13,2
7030,1,14,1
7030,1,15,1
7030,1,16,2
7030,1,17,5
7030,1,18,8
7030,1,19,10
7030,1,20,11
7030,1,21,10
7030,1,22,6
7030,1,23,4
7030,2,0,1
7030,2,1,2
7030,2,2,2
7030,2,4,1
7030,2,5,1
7030,2,6,1
7030,2,7,2
7030,2,9,1
7030,2,11,1
7030,2,12,1
7030,2,14,1
7030,2,15,4
7030,2,17,1
7030,2,18,2
7030,2,19,6
7030,2,20,4
7030,2,21,12
7030,2,22,5
7030,2,23,2
7030,3,0,3
7030,3,1,2
7030,3,3,2
7030,3,4,1
