Zip,Weekday,Hour,Number of Trips
1566,6,8,1
6605,1,23,1
6605,5,22,1
6807,1,11,1
6820,6,11,1
6830,2,21,1
6830,3,18,1
6830,3,22,1
6830,5,16,1
6850,4,11,1
6851,0,21,1
6854,2,8,1
6870,0,23,1
6870,2,20,1
6870,3,13,1
6878,1,21,1
6878,2,22,1
6880,0,9,1
6880,5,19,2
6890,3,2,1
6901,0,19,1
6901,1,11,1
6901,2,6,1
6901,3,22,1
6901,4,4,1
6901,4,8,1
6901,5,14,1
6902,3,22,1
6902,5,13,1
6902,5,17,1
6902,5,20,1
6906,0,22,1
7001,1,7,1
7002,0,5,1
7002,0,12,1
7002,1,6,1
7002,1,10,1
7002,1,17,1
7002,1,18,1
7002,1,20,1
7002,2,13,1
7002,2,15,1
7002,3,4,1
7002,3,8,1
7002,4,5,1
7002,4,10,1
7002,4,13,1
7002,4,16,1
7002,4,17,2
7002,5,11,1
7002,5,15,1
7002,5,20,1
7002,6,2,1
7003,0,4,1
7003,0,7,1
7003,1,6,1
7003,2,5,1
7003,3,1,1
7003,3,22,1
7003,5,18,1
7003,6,16,1
7004,2,12,1
7006,4,20,1
7006,4,21,1
7009,3,10,1
7009,3,19,1
7009,5,21,1
7009,5,22,1
7009,6,13,1
7010,0,16,1
7010,0,19,1
7010,1,5,1
7010,1,10,1
7010,1,13,1
7010,2,5,1
7010,2,6,1
7010,2,14,1
7010,2,19,1
7010,2,21,1
7010,3,7,1
7010,3,10,1
7010,3,13,1
7010,3,14,1
7010,4,4,1
7010,4,8,1
7010,4,20,1
7010,5,0,1
7010,5,13,1
7010,5,19,1
7010,5,20,2
7010,5,22,1
7010,6,21,1
7011,5,18,1
7012,2,17,1
7012,3,23,1
7012,4,19,1
7013,5,21,1
7014,2,10,1
7014,5,17,1
7014,6,11,1
7014,6,20,1
7016,0,0,1
7016,0,19,1
7016,3,22,1
7016,5,4,1
7016,5,12,1
7017,4,23,1
7018,0,13,1
7018,1,13,1
7020,0,1,1
7020,0,6,1
7020,1,8,1
7020,1,10,1
7020,1,15,1
7020,1,19,1
7020,1,21,1
7020,1,22,1
7020,2,21,1
7020,3,6,1
7020,3,19,2
7020,4,7,1
7020,4,14,2
7020,5,10,1
7020,5,18,1
7020,5,23,1
7020,6,13,1
7020,6,16,1
7020,6,22,1
7021,2,22,1
7021,4,20,1
7021,5,22,1
7021,6,21,1
7022,0,15,1
7022,0,17,2
7022,2,6,1
7022,2,17,1
7022,4,8,1
7022,4,17,1
7022,5,0,1
7022,6,10,1
7022,6,11,1
7022,6,17,1
7023,3,5,1
7023,6,12,1
7024,0,3,1
7024,0,6,1
7024,0,8,2
7024,0,14,1
7024,0,17,1
7024,0,21,2
7024,1,0,1
7024,1,6,1
7024,1,8,1
7024,1,9,1
7024,1,12,1
7024,1,13,2
7024,1,14,1
7024,1,20,1
7024,1,21,1
7024,2,5,1
7024,2,13,1
7024,2,20,1
7024,2,21,1
7024,3,8,1
7024,3,9,1
7024,3,11,1
7024,3,12,1
7024,3,20,1
7024,4,7,2
7024,4,8,1
7024,4,11,1
7024,4,17,1
7024,4,18,1
7024,4,21,1
7024,4,22,1
7024,5,10,2
7024,5,11,1
7024,5,15,2
7024,5,16,1
7024,5,18,1
7024,5,22,1
7024,5,23,1
7024,6,2,1
7024,6,9,1
7024,6,10,1
7024,6,12,1
7024,6,13,1
7024,6,15,2
7024,6,17,1
7024,6,19,1
7024,6,22,2
7026,5,21,1
7026,6,7,1
7028,0,21,1
7028,4,5,1
7028,4,19,1
7028,4,22,1
7028,5,5,1
7028,6,18,1
7028,6,19,1
7029,1,16,1
7029,2,21,1
7029,4,22,1
7029,5,0,1
7029,5,10,1
7029,5,15,1
7029,5,21,1
7029,6,17,1
7030,0,0,2
7030,0,1,1
7030,0,3,3
7030,0,4,6
7030,0,5,4
7030,0,6,6
7030,0,8,3
7030,0,9,1
7030,0,11,2
7030,0,13,2
7030,0,15,4
7030,0,17,2
7030,0,18,4
7030,0,19,3
7030,0,20,6
7030,0,21,6
7030,0,22,2
7030,0,23,1
7030,1,0,3
7030,1,3,3
7030,1,4,1
7030,1,5,3
7030,1,6,3
7030,1,7,5
7030,1,8,5
7030,1,11,1
7030,1,13,1
7030,1,14,1
7030,1,15,2
7030,1,16,1
7030,1,18,4
7030,1,19,3
7030,1,20,5
7030,1,21,10
7030,1,22,7
7030,1,23,8
7030,2,0,3
7030,2,1,1
7030,2,2,1
7030,2,4,1
7030,2,5,1
7030,2,6,2
7030,2,7,6
7030,2,9,1
7030,2,11,1
7030,2,15,1
7030,2,17,1
7030,2,19,2
7030,2,20,6
7030,2,21,16
7030,2,22,9
7030,2,23,4
7030,3,0,4
7030,3,1,1
7030,3,4,4
7030,3,5,3
7030,3,6,2
7030,3,7,6
7030,3,8,1
7030,3,10,1
7030,3,15,3
7030,3,16,2
7030,3,17,6
7030,3,18,2
7030,3,19,4
7030,3,20,8
7030,3,21,12
7030,3,22,13
7030,3,23,4
7030,4,0,6
7030,4,1,1
7030,4,2,2
7030,4,3,1
7030,4,4,3
7030,4,6,5
7030,4,7,4
7030,4,8,4
7030,4,9,3
7030,4,10,1
7030,4,11,1
7030,4,12,1
7030,4,13,1
7030,4,14,6
7030,4,15,2
7030,4,16,6
7030,4,17,7
7030,4,18,9
7030,4,19,7
7030,4,20,7
7030,4,21,8
7030,4,22,15
7030,4,23,9
7030,5,0,7
7030,5,1,12
7030,5,2,2
7030,5,3,5
7030,5,4,1
7030,5,5,1
7030,5,6,2
7030,5,8,4
7030,5,9,5
7030,5,10,6
7030,5,11,3
7030,5,12,5
7030,5,13,5
7030,5,14,6
7030,5,15,3
7030,5,16,5
7030,5,17,5
7030,5,18,14
7030,5,19,15
7030,5,20,8
7030,5,21,12
7030,5,22,17
7030,5,23,25
7030,6,0,18
7030,6,1,9
7030,6,2,4
7030,6,3,3
7030,6,4,2
7030,6,5,3
7030,6,6,1
7030,6,9,2
7030,6,10,5
7030,6,11,5
7030,6,12,3
7030,6,13,3
7030,6,14,7
7030,6,15,7
7030,6,16,10
7030,6,17,6
7030,6,18,5
7030,6,19,3
7030,6,20,6
7030,6,21,3
7030,6,22,4
7030,6,23,2
7031,1,12,1
7031,3,1,1
7031,5,0,1
7031,6,1,1
