Zip,Weekday,Hour,Expected Trips,Expected Trips (Est)
1566,0,0,0,0.0
1566,0,1,0,0.02637030929327011
1566,0,2,0,0.06931805610656738
1566,0,3,0,0.11218780279159546
1566,0,4,0,0.1552131026983261
1566,0,5,0,0.1980828493833542
1566,0,6,0,0.24095259606838226
1566,0,7,0,0.28397801518440247
1566,0,8,0,0.32676994800567627
1566,0,9,0,0.3697952628135681
1566,0,10,0,0.44913622736930847
1566,0,11,0,0.5308471322059631
1566,0,12,0,0.6126360893249512
1566,0,13,0,0.6944248676300049
1566,0,14,0,0.7761358022689819
1566,0,15,0,0.8580021858215332
1566,0,16,0,0.9396352767944336
1566,0,17,1,1.0215017795562744
1566,0,18,1,1.1032127141952515
1566,0,19,1,1.1850794553756714
1566,0,20,1,1.2667123079299927
1566,0,21,1,1.348501205444336
1566,0,22,1,1.5084540843963623
1566,0,23,1,1.681493878364563
1566,1,0,0,0.22790123522281647
1566,1,1,0,0.270693302154541
1566,1,2,0,0.3137965798377991
1566,1,3,0,0.35666632652282715
1566,1,4,0,0.39961379766464233
1566,1,5,0,0.44256138801574707
1566,1,6,0,0.48543113470077515
1566,1,7,0,0.5283787250518799
1566,1,8,0,0.5713263154029846
1566,1,9,0,0.6141959428787231
1566,1,10,0,0.6571434736251831
1566,1,11,0,0.7219595909118652
1566,1,12,0,0.8036704659461975
1566,1,13,0,0.885381281375885
1566,1,14,0,0.9670921564102173
1566,1,15,1,1.048958659172058
1566,1,16,1,1.1307474374771118
1566,1,17,1,1.2125362157821655
1566,1,18,1,1.2941691875457764
1566,1,19,1,1.3760358095169067
1566,1,20,1,1.4577467441558838
1566,1,21,1,1.539535641670227
1566,1,22,1,1.6212464570999146
1566,1,23,1,1.7031129598617554
1566,2,0,0,0.4723799228668213
1566,2,1,0,0.5152496695518494
1566,2,2,0,0.5581194162368774
1566,2,3,0,0.601067066192627
1566,2,4,0,0.6440144777297974
1566,2,5,0,0.6869620680809021
1566,2,6,0,0.7298318147659302
1566,2,7,0,0.7727794051170349
1566,2,8,0,0.8157270550727844
1566,2,9,0,0.8585966229438782
1566,2,10,0,0.9015442132949829
1566,2,11,0,0.944491982460022
1566,2,12,0,0.9946268200874329
1566,2,13,1,1.0764156579971313
1566,2,14,1,1.1581265926361084
1566,2,15,1,1.239915132522583
1566,2,16,1,1.32162606716156
1566,2,17,1,1.4033371210098267
1566,2,18,1,1.485203742980957
1566,2,19,1,1.5669924020767212
1566,2,20,1,1.6487810611724854
1566,2,21,1,1.730492115020752
1566,2,22,1,1.8122808933258057
1566,2,23,1,1.8939915895462036
1566,3,0,0,0.7167806029319763
1566,3,1,0,0.7596503496170044
1566,3,2,0,0.8026757836341858
1566,3,3,0,0.8455455303192139
1566,3,4,0,0.8884151577949524
1566,3,5,0,0.9313628077507019
1566,3,6,0,0.9743103384971619
1566,3,7,1,1.0172579288482666
1566,3,8,1,1.0602056980133057
1566,3,9,1,1.1031529903411865
1566,3,10,1,1.146022915840149
1566,3,11,1,1.1889704465866089
1566,3,12,1,1.2319179773330688
1566,3,13,1,1.2747877836227417
1566,3,14,1,1.3490830659866333
1566,3,15,1,1.4308717250823975
1566,3,16,1,1.5127383470535278
1566,3,17,1,1.5944492816925049
1566,3,18,1,1.6762380599975586
1566,3,19,1,1.7580267190933228
1566,3,20,1,1.839815616607666
1566,3,21,1,1.9214487075805664
1566,3,22,2,2.0033152103424072
1566,3,23,2,2.0850260257720947
1566,4,0,0,0.961259126663208
1566,4,1,1,1.0041288137435913
1566,4,2,1,1.0469986200332642
1566,4,3,1,1.0899462699890137
1566,4,4,1,1.1329715251922607
1566,4,5,1,1.175841212272644
1566,4,6,1,1.218711018562317
1566,4,7,1,1.2617366313934326
1566,4,8,1,1.3046841621398926
1566,4,9,1,1.3475537300109863
1566,4,10,1,1.3904235363006592
1566,4,11,1,1.4334490299224854
1566,4,12,1,1.4763188362121582
1566,4,13,1,1.5192662477493286
1566,4,14,1,1.5621360540390015
1566,4,15,1,1.6219059228897095
1566,4,16,1,1.7037726640701294
1566,4,17,1,1.785561442375183
1566,4,18,1,1.867194652557373
1566,4,19,1,1.9489833116531372
1566,4,20,2,2.0308499336242676
1566,4,21,2,2.112560987472534
1566,4,22,2,2.194427490234375
1566,4,23,2,2.3136603832244873
1566,5,0,1,1.2055820226669312
1566,5,1,1,1.2485295534133911
1566,5,2,1,1.291477084159851
1566,5,3,1,1.334346890449524
1566,5,4,1,1.3772944211959839
1566,5,5,1,1.4202420711517334
1566,5,6,1,1.463189721107483
1566,5,7,1,1.5061373710632324
1566,5,8,1,1.5490070581436157
1566,5,9,1,1.5919545888900757
1566,5,10,1,1.634902000427246
1566,5,11,1,1.677771806716919
1566,5,12,1,1.7207973003387451
1566,5,13,1,1.763667106628418
1566,5,14,1,1.8066147565841675
1566,5,15,1,1.849562168121338
1566,5,16,1,1.8946514129638672
1566,5,17,1,1.9764399528503418
1566,5,18,2,2.0581510066986084
1566,5,19,2,2.1400177478790283
1566,5,20,2,2.221806526184082
1566,5,21,2,2.3035950660705566
1566,5,22,2,2.413642406463623
1566,5,23,2,2.544708013534546
1566,6,0,1,1.450060486793518
1566,6,1,1,1.492930293083191
1566,6,2,1,1.5359556674957275
1566,6,3,1,1.5788254737854004
1566,6,4,1,1.6217728853225708
1566,6,5,1,1.6647205352783203
1566,6,6,1,1.7076681852340698
1566,6,7,1,1.7505379915237427
1566,6,8,1,1.7934856414794922
1566,6,9,1,1.8364330530166626
1566,6,10,1,1.8793028593063354
1566,6,11,1,1.9221725463867188
1566,6,12,1,1.9651979207992554
1566,6,13,2,2.008223533630371
1566,6,14,2,2.051093101501465
1566,6,15,2,2.0939629077911377
1566,6,16,2,2.1368327140808105
1566,6,17,2,2.1798579692840576
1566,6,18,2,2.249263286590576
1566,6,19,2,2.3309743404388428
1566,6,20,2,2.4128406047821045
1566,6,21,2,2.513701915740967
1566,6,22,2,2.6447677612304688
1566,6,23,2,2.7759110927581787
6410,0,0,0,0.0
6410,0,1,0,0.0
6410,0,2,0,0.0
6410,0,3,0,0.0
6410,0,4,0,0.0
6410,0,5,0,0.0
6410,0,6,0,0.0
6410,0,7,0,0.0
6410,0,8,0,0.0
6410,0,9,0,0.0
6410,0,10,0,0.0
6410,0,11,0,0.0
6410,0,12,0,0.0
6410,0,13,0,0.0
6410,0,14,0,0.0
6410,0,15,0,0.0
6410,0,16,0,0.0
6410,0,17,0,0.0
6410,0,18,0,0.0
6410,0,19,0,0.0
6410,0,20,0,0.0
6410,0,21,0,0.0
6410,0,22,0,0.0
6410,0,23,0,0.0
6410,1,0,0,0.0
6410,1,1,0,0.0
6410,1,2,0,0.0
6410,1,3,0,0.0
6410,1,4,0,0.0
6410,1,5,0,0.0
6410,1,6,0,0.0
6410,1,7,0,0.0
6410,1,8,0,0.0
6410,1,9,0,0.0
6410,1,10,0,0.0
6410,1,11,0,0.0
6410,1,12,0,0.0
6410,1,13,0,0.0
6410,1,14,0,0.0
6410,1,15,0,0.0
6410,1,16,0,0.0
6410,1,17,0,0.0
6410,1,18,0,0.0
6410,1,19,0,0.0
6410,1,20,0,0.0
6410,1,21,0,0.0
6410,1,22,0,0.0
6410,1,23,0,0.0
6410,2,0,0,0.0
6410,2,1,0,0.0
6410,2,2,0,0.0
6410,2,3,0,0.0
6410,2,4,0,0.0
6410,2,5,0,0.0
6410,2,6,0,0.0
6410,2,7,0,0.0
6410,2,8,0,0.0
6410,2,9,0,0.0
6410,2,10,0,0.0
6410,2,11,0,0.0
6410,2,12,0,0.0
6410,2,13,0,0.0
6410,2,14,0,0.0
6410,2,15,0,0.0
6410,2,16,0,0.0
6410,2,17,0,0.0
6410,2,18,0,0.0
6410,2,19,0,0.0
6410,2,20,0,0.0
6410,2,21,0,0.0
6410,2,22,0,0.0
6410,2,23,0,0.0
6410,3,0,0,0.0
6410,3,1,0,0.0
6410,3,2,0,0.0
6410,3,3,0,0.0
6410,3,4,0,0.0
6410,3,5,0,0.0
6410,3,6,0,0.0
6410,3,7,0,0.0
6410,3,8,0,0.0
6410,3,9,0,0.0
6410,3,10,0,0.0
6410,3,11,0,0.0
6410,3,12,0,0.0
6410,3,13,0,0.0
6410,3,14,0,0.0
6410,3,15,0,0.0
6410,3,16,0,0.0
6410,3,17,0,0.0
6410,3,18,0,0.0
6410,3,19,0,0.0
6410,3,20,0,0.0
6410,3,21,0,0.0
6410,3,22,0,0.0
6410,3,23,0,0.0
6410,4,0,0,0.0
6410,4,1,0,0.0
6410,4,2,0,0.0
6410,4,3,0,0.0
6410,4,4,0,0.0
6410,4,5,0,0.0
6410,4,6,0,0.0
6410,4,7,0,0.0
6410,4,8,0,0.0
6410,4,9,0,0.0
6410,4,10,0,0.0
6410,4,11,0,0.0
6410,4,12,0,0.0
6410,4,13,0,0.0
6410,4,14,0,0.0
6410,4,15,0,0.0
6410,4,16,0,0.0
6410,4,17,0,0.0
6410,4,18,0,0.0
6410,4,19,0,0.0
6410,4,20,0,0.0
6410,4,21,0,0.0
6410,4,22,0,0.0
6410,4,23,0,0.0
6410,5,0,0,0.0
6410,5,1,0,0.0
6410,5,2,0,0.0
6410,5,3,0,0.0
6410,5,4,0,0.0
6410,5,5,0,0.0
6410,5,6,0,0.0
6410,5,7,0,0.0
6410,5,8,0,0.0
6410,5,9,0,0.0
6410,5,10,0,0.0
6410,5,11,0,0.0
6410,5,12,0,0.0
6410,5,13,0,0.0
6410,5,14,0,0.0
6410,5,15,0,0.0
6410,5,16,0,0.0
6410,5,17,0,0.0
6410,5,18,0,0.0
6410,5,19,0,0.0
6410,5,20,0,0.0
6410,5,21,0,0.0
6410,5,22,0,0.0
6410,5,23,0,0.0
6410,6,0,0,0.0
6410,6,1,0,0.0
6410,6,2,0,0.0
