Zip,Weekday,Number of Trips
6901,0,1
7024,1,1
7030,1,1
7094,4,1
7102,4,1
7114,0,2
7114,1,1
7114,2,1
7114,3,2
7114,4,1
7114,5,2
7114,6,2
7302,3,1
7304,3,1
7306,1,1
7310,2,1
8869,0,1
10001,0,2
10001,1,5
10001,2,2
10001,3,3
10001,4,5
10001,5,7
10001,6,4
10002,0,3
10002,1,3
10002,2,3
10002,3,3
10002,4,11
10002,5,6
10002,6,8
10003,0,3
10003,1,11
10003,2,8
10003,3,6
10003,4,9
10003,5,6
10003,6,2
10005,1,1
10005,2,2
10005,3,3
10005,4,1
10005,5,1
10005,6,1
10006,1,1
10006,2,4
10006,4,1
10006,6,2
10007,1,1
10007,2,2
10007,3,1
10007,4,1
10007,5,1
10007,6,1
10009,0,5
10009,1,1
10009,2,3
10009,3,4
10009,4,7
10009,5,5
10011,0,7
10011,1,9
10011,2,9
10011,3,14
10011,4,8
10011,5,4
10011,6,4
10012,0,6
10012,1,5
10012,2,11
10012,3,5
10012,4,10
10012,5,12
10012,6,9
10013,0,2
10013,1,4
10013,2,5
10013,3,4
10013,4,6
10013,5,6
10013,6,4
10014,0,1
10014,1,4
10014,2,5
10014,3,7
10014,4,1
10014,5,6
10014,6,3
10016,0,2
10016,1,2
10016,3,2
10016,4,2
10016,5,1
10016,6,2
10017,0,1
10017,1,2
10017,2,5
10017,3,4
10017,4,4
10017,5,4
10017,6,2
10018,0,2
10018,1,6
10018,2,6
10018,3,9
10018,4,4
10018,5,5
10018,6,3
10019,0,4
10019,1,3
10019,2,4
10019,3,4
10019,4,3
10019,5,1
10019,6,1
10020,0,1
10020,1,2
10020,2,3
10020,3,3
10020,4,2
10020,5,1
10021,0,2
10021,1,2
10021,2,5
10021,3,4
10021,4,3
10021,5,4
10021,6,2
10022,0,2
10022,1,1
10022,2,2
10022,4,2
10022,5,2
10022,6,1
10023,0,4
10023,1,2
10023,2,2
10023,3,2
10023,4,1
10023,5,2
10023,6,1
10025,2,1
10025,3,2
10028,0,3
10028,1,5
10028,2,3
10028,4,2
10028,5,7
10028,6,1
10029,2,1
10029,3,1
10029,4,2
10030,4,1
10030,6,1
10031,4,1
10031,6,1
10032,0,1
10032,4,2
10034,3,1
10034,4,1
10035,6,1
10037,6,1
10038,2,1
10038,4,1
10038,5,1
10039,0,1
10039,3,1
10039,5,1
10044,0,1
10044,1,2
10044,2,1
10044,3,1
10065,0,2
10065,1,4
10065,2,2
10065,3,6
10065,4,3
10065,5,4
10065,6,2
10069,0,1
10069,2,1
10069,4,1
10069,6,2
10103,0,1
10103,2,2
10103,3,3
10103,4,5
10103,5,2
10103,6,5
10110,0,5
10110,1,3
10110,2,7
10110,3,11
10110,4,7
10110,5,2
10110,6,2
10111,0,1
10111,1,1
10112,1,1
10112,2,1
10112,3,1
10112,4,1
10112,6,1
10115,3,1
10119,0,3
10119,1,2
10119,2,2
10119,3,1
10119,4,1
10119,5,2
10119,6,1
10152,0,2
10152,3,3
10152,4,2
10153,0,2
10153,1,6
10153,2,5
10153,3,5
10153,4,4
10153,5,1
10154,0,1
10154,2,2
10154,3,2
10154,4,1
10154,5,2
10162,0,1
10162,2,1
10162,3,2
10162,4,2
10162,5,6
10162,6,2
10167,0,1
10167,1,2
10167,2,3
10167,3,1
10167,5,1
10167,6,1
10171,0,1
10171,2,1
10171,3,2
10171,4,1
10171,5,2
10171,6,1
10199,0,6
10199,1,3
10199,2,1
10199,3,3
10199,4,2
10199,5,2
10199,6,2
10271,1,1
10271,2,3
10271,3,1
10271,4,3
10278,0,1
10278,1,4
10278,2,2
10278,4,2
10278,5,1
10280,2,1
10280,3,1
10280,4,1
10280,5,1
10282,2,4
10282,3,1
10282,4,2
10282,5,1
10282,6,1
10451,5,1
10452,4,1
10456,4,1
10458,2,1
10468,6,1
10471,4,1
10580,0,1
10580,2,1
10603,1,1
11001,2,1
11101,2,1
11101,4,1
11101,5,1
11102,0,2
11103,3,1
11104,4,1
11104,6,1
11105,0,1
11105,5,2
11106,1,1
11106,2,1
11106,4,1
11106,5,1
11109,5,1
11201,2,3
11201,4,2
11201,5,5
11201,6,1
11205,0,1
11205,1,1
11205,2,1
11205,4,2
11205,5,1
11205,6,1
11206,0,2
11206,1,1
11206,4,1
11209,2,1
11210,6,1
11211,0,2
11211,1,9
11211,2,6
11211,3,2
11211,4,6
11211,5,5
11211,6,7
11213,0,1
11213,5,1
11215,0,2
11215,1,2
11215,2,2
11215,3,1
11215,4,3
11215,6,2
11216,1,2
11217,0,1
11217,2,2
11217,3,3
11217,4,2
11217,5,4
11217,6,1
11218,6,1
11219,6,1
11220,1,1
11220,5,1
11221,1,1
11221,4,1
11222,0,1
11222,1,2
11222,2,1
11222,4,3
11222,5,4
11222,6,3
11224,6,2
11225,1,1
11225,3,1
11225,6,1
11226,0,1
11226,3,1
11230,0,1
11230,1,1
11231,1,2
11231,2,2
11231,3,3
11231,4,2
11231,5,1
11231,6,3
11233,6,1
11235,5,1
11235,6,1
11237,2,1
11237,3,1
11237,4,2
11237,6,1
11238,0,1
11238,2,2
11238,4,2
11238,5,1
11238,6,1
11351,6,1
11367,2,1
11369,6,1
11370,1,1
11371,0,1
11371,1,2
11371,2,2
11371,3,3
11371,4,6
11371,5,1
11371,6,4
11372,0,2
11372,2,1
11373,5,1
11377,6,1
11378,4,1
11385,2,1
11385,4,1
11413,6,1
11422,0,2
11422,1,2
11422,2,3
11422,3,3
11422,4,2
11422,5,1
11422,6,8
11434,4,1
11514,2,1
11566,1,1
11572,2,1
11801,6,1
