Zip,Weekday,Hour,Number of Trips
10018,3,13,1
10018,3,17,1
10018,3,19,1
10018,3,22,2
10018,4,19,2
10018,4,20,1
10018,4,22,1
10018,5,6,1
10018,5,13,1
10018,5,19,2
10018,5,21,1
10018,6,10,1
10018,6,12,1
10018,6,22,1
10019,0,7,1
10019,0,10,1
10019,0,11,1
10019,0,19,1
10019,1,13,1
10019,1,16,1
10019,1,18,1
10019,2,17,1
10019,2,19,1
10019,2,20,1
10019,2,21,1
10019,3,8,1
10019,3,11,1
10019,3,18,1
10019,3,21,1
10019,4,11,1
10019,4,21,2
10019,5,19,1
10019,6,14,1
10020,0,11,1
10020,1,14,1
10020,1,21,1
10020,2,5,1
10020,2,13,1
10020,2,21,1
10020,3,14,1
10020,3,20,1
10020,3,21,1
10020,4,0,1
10020,4,19,1
10020,5,21,1
10021,0,3,1
10021,0,13,1
10021,1,7,1
10021,1,16,1
10021,2,9,1
10021,2,17,2
10021,2,21,1
10021,2,23,1
10021,3,14,1
10021,3,15,1
10021,3,17,2
10021,4,1,1
10021,4,5,1
10021,4,18,1
10021,5,6,1
10021,5,12,1
10021,5,17,1
10021,5,18,1
10021,6,0,1
10021,6,10,1
10022,0,6,1
10022,0,8,1
10022,1,18,1
10022,2,17,1
10022,2,18,1
10022,4,16,1
10022,4,17,1
10022,5,2,1
10022,5,15,1
10022,6,2,1
10023,0,8,1
10023,0,9,1
10023,0,15,2
10023,1,7,1
10023,1,20,1
10023,2,18,1
10023,2,21,1
10023,3,10,1
10023,3,11,1
10023,4,21,1
10023,5,16,1
10023,5,20,1
10023,6,23,1
10025,2,23,1
10025,3,14,1
10025,3,20,1
10028,0,6,1
10028,0,9,1
10028,0,21,1
10028,1,5,1
10028,1,6,1
10028,1,7,1
10028,1,13,1
10028,1,14,1
10028,2,6,1
10028,2,7,1
10028,2,17,1
10028,4,9,1
10028,4,16,1
10028,5,4,1
10028,5,12,1
10028,5,13,1
10028,5,17,2
10028,5,19,1
10028,5,23,1
10028,6,0,1
10029,2,19,1
10029,3,17,1
10029,4,13,1
10029,4,19,1
10030,4,21,1
10030,6,10,1
10031,4,16,1
10031,6,19,1
10032,0,3,1
10032,4,7,1
10032,4,21,1
10034,3,11,1
10034,4,1,1
10035,6,16,1
10037,6,15,1
10038,2,20,1
10038,4,23,1
10038,5,16,1
10039,0,20,1
10039,3,1,1
10039,5,19,1
10044,0,9,1
10044,1,10,1
10044,1,15,1
10044,2,8,1
10044,3,12,1
10065,0,16,1
10065,0,20,1
10065,1,10,1
10065,1,13,1
10065,1,17,1
10065,1,18,1
10065,2,6,1
10065,2,14,1
10065,3,10,1
10065,3,11,1
10065,3,13,2
10065,3,17,1
10065,3,23,1
10065,4,15,1
10065,4,18,1
10065,4,20,1
10065,5,9,1
10065,5,12,1
10065,5,15,1
10065,5,18,1
10065,6,0,1
10065,6,18,1
10069,0,17,1
10069,2,10,1
10069,4,7,1
10069,6,10,1
10069,6,11,1
10103,0,16,1
10103,2,15,1
10103,2,19,1
10103,3,17,1
10103,3,19,1
10103,3,21,1
10103,4,6,1
10103,4,11,2
10103,4,13,1
10103,4,17,1
10103,5,18,1
10103,5,23,1
10103,6,0,1
10103,6,2,1
10103,6,12,1
10103,6,13,1
10103,6,21,1
10110,0,12,1
10110,0,15,1
10110,0,16,1
10110,0,18,1
10110,0,19,1
10110,1,15,1
10110,1,17,1
10110,1,21,1
10110,2,7,1
10110,2,12,1
10110,2,15,1
10110,2,16,1
10110,2,18,3
10110,3,15,1
10110,3,16,4
10110,3,17,2
10110,3,20,4
10110,4,8,1
10110,4,11,1
10110,4,16,2
10110,4,18,1
10110,4,21,2
10110,5,18,1
10110,5,21,1
10110,6,3,1
10110,6,20,1
10111,0,19,1
10111,1,13,1
10112,1,17,1
10112,2,20,1
10112,3,8,1
10112,4,17,1
10112,6,17,1
10115,3,14,1
10119,0,15,1
10119,0,18,1
10119,0,21,1
10119,1,12,1
10119,1,21,1
10119,2,9,1
10119,2,11,1
10119,3,8,1
10119,4,10,1
10119,5,10,1
10119,5,22,1
10119,6,13,1
10152,0,14,1
10152,0,19,1
10152,3,1,1
10152,3,16,1
10152,3,22,1
10152,4,14,1
10152,4,19,1
10153,0,14,1
10153,0,16,1
10153,1,13,3
10153,1,20,3
10153,2,7,1
10153,2,12,1
10153,2,14,1
10153,2,16,1
10153,2,23,1
10153,3,15,1
10153,3,17,1
10153,3,21,2
10153,3,22,1
10153,4,10,1
10153,4,12,1
10153,4,16,1
10153,4,21,1
10153,5,17,1
10154,0,5,1
10154,2,19,1
10154,2,22,1
10154,3,12,1
10154,3,19,1
10154,4,6,1
10154,5,13,1
10154,5,17,1
10162,0,6,1
10162,2,7,1
10162,3,5,1
10162,3,9,1
10162,4,7,2
10162,5,6,1
10162,5,16,2
10162,5,17,1
10162,5,18,1
10162,5,22,1
10162,6,2,1
10162,6,8,1
10167,0,21,1
10167,1,14,1
10167,1,18,1
10167,2,18,1
10167,2,19,1
10167,2,20,1
10167,3,9,1
10167,5,12,1
10167,6,9,1
10171,0,16,1
10171,2,10,1
10171,3,17,1
10171,3,18,1
10171,4,14,1
10171,5,6,1
10171,5,17,1
10171,6,8,1
10199,0,0,1
10199,0,11,1
10199,0,12,1
10199,0,15,1
10199,0,16,1
10199,0,22,1
10199,1,8,1
10199,1,15,1
10199,1,23,1
10199,2,17,1
10199,3,14,1
10199,3,15,1
10199,3,16,1
10199,4,11,1
10199,4,19,1
10199,5,15,1
10199,5,21,1
10199,6,12,1
10199,6,20,1
10271,1,22,1
10271,2,15,1
10271,2,16,1
10271,2,20,1
10271,3,19,1
10271,4,10,1
10271,4,12,1
10271,4,16,1
10278,0,6,1
10278,1,9,1
10278,1,14,1
10278,1,15,2
10278,2,3,1
10278,2,11,1
10278,4,0,1
10278,4,7,1
10278,5,15,1
10280,2,8,1
10280,3,20,1
10280,4,19,1
10280,5,7,1
10282,2,15,1
10282,2,16,3
10282,3,22,1
10282,4,12,1
10282,4,20,1
10282,5,12,1
