Zip,Weekday,Hour,Expected Trips,Expected Trips (Est)
7010,4,13,0,0.0414101779460907
7010,4,14,0,0.04163701459765434
7010,4,15,0,0.04186384007334709
7010,4,16,0,0.04209066554903984
7010,4,17,0,0.04210512712597847
7010,4,18,0,0.04215943440794945
7010,4,19,0,0.04226712882518768
7010,4,20,0,0.04237481951713562
7010,4,21,0,0.042482513934373856
7010,4,22,0,0.04259021207690239
7010,4,23,0,0.042697906494140625
7010,5,0,0,0.045215342193841934
7010,5,1,0,0.04464860260486603
7010,5,2,0,0.044066205620765686
7010,5,3,0,0.04317786544561386
7010,5,4,0,0.04228951409459114
7010,5,5,0,0.04140116646885872
7010,5,6,0,0.040762607008218765
7010,5,7,0,0.0404537208378315
7010,5,8,0,0.04014483839273453
7010,5,9,0,0.03983594849705696
7010,5,10,0,0.039534807205200195
7010,5,11,0,0.039286185055971146
7010,5,12,0,0.03899160772562027
7010,5,13,0,0.03909929841756821
7010,5,14,0,0.03920699283480644
7010,5,15,0,0.03931468352675438
7010,5,16,0,0.039422377943992615
7010,5,17,0,0.03953007981181145
7010,5,18,0,0.039637770503759384
7010,5,19,0,0.03974546492099762
7010,5,20,0,0.039853163063526154
7010,5,21,0,0.03996086120605469
7010,5,22,0,0.040068551898002625
7010,5,23,0,0.04036072641611099
7010,6,0,0,0.0460708849132061
7010,6,1,0,0.04550414904952049
7010,6,2,0,0.04493740573525429
7010,6,3,0,0.04443954676389694
7010,6,4,0,0.0443248450756073
7010,6,5,0,0.043405406177043915
7010,6,6,0,0.04239792376756668
7010,6,7,0,0.04139045253396034
7010,6,8,0,0.040574438869953156
7010,6,9,0,0.040146421641111374
7010,6,10,0,0.039718400686979294
7010,6,11,0,0.039290379732847214
7010,6,12,0,0.038862358778715134
7010,6,13,0,0.038434337824583054
7010,6,14,0,0.03800633177161217
7010,6,15,0,0.03757831081748009
7010,6,16,0,0.03715027868747711
7010,6,17,0,0.03700842335820198
7010,6,18,0,0.03711611405014992
7010,6,19,0,0.03770842403173447
7010,6,20,0,0.03857588768005371
7010,6,21,0,0.039443351328372955
7010,6,22,0,0.0403108075261116
7010,6,23,0,0.04117828235030174
7020,0,0,0,0.04238373413681984
7020,0,1,0,0.042351629585027695
7020,0,2,0,0.042379070073366165
7020,0,3,0,0.04298589751124382
7020,0,4,0,0.04359272122383118
7020,0,5,0,0.044199541211128235
7020,0,6,0,0.04480636864900589
7020,0,7,0,0.04556997865438461
7020,0,8,0,0.047727786004543304
7020,0,9,0,0.04948727786540985
7020,0,10,0,0.05106716603040695
7020,0,11,0,0.05264705419540405
7020,0,12,0,0.054226942360401154
7020,0,13,0,0.055806826800107956
7020,0,14,0,0.057386722415685654
7020,0,15,0,0.05896660313010216
7020,0,16,0,0.06054649502038956
7020,0,17,0,0.06212521344423294
7020,0,18,0,0.06354626268148422
7020,0,19,0,0.06496730446815491
7020,0,20,0,0.06638835370540619
7020,0,21,0,0.06780939549207687
7020,0,22,0,0.06818141788244247
7020,0,23,0,0.06858935952186584
7020,1,0,0,0.04012282192707062
7020,1,1,0,0.04008983075618744
7020,1,2,0,0.04005683586001396
7020,1,3,0,0.04002384841442108
7020,1,4,0,0.040805019438266754
7020,1,5,0,0.04174508899450302
7020,1,6,0,0.042685166001319885
7020,1,7,0,0.043625231832265854
7020,1,8,0,0.04456530511379242
7020,1,9,0,0.045968472957611084
7020,1,10,0,0.04754747822880745
7020,1,11,0,0.049126479774713516
7020,1,12,0,0.05070548504590988
7020,1,13,0,0.05228449031710625
7020,1,14,0,0.053863491863012314
7020,1,15,0,0.05547125265002251
7020,1,16,0,0.05703037977218628
7020,1,17,0,0.05761178955435753
7020,1,18,0,0.05819320306181908
7020,1,19,0,0.05877460911870003
7020,1,20,0,0.05935601145029068
7020,1,21,0,0.05993742495775223
7020,1,22,0,0.06050305813550949
7020,1,23,0,0.06092562898993492
7020,2,0,0,0.03718595951795578
7020,2,1,0,0.03812602907419205
7020,2,2,0,0.03906610235571861
7020,2,3,0,0.04000617563724518
7020,2,4,0,0.040946245193481445
7020,2,5,0,0.041886311024427414
7020,2,6,0,0.04282638430595398
7020,2,7,0,0.043766457587480545
7020,2,8,0,0.044779542833566666
7020,2,9,0,0.04580017924308777
7020,2,10,0,0.046820808202028275
7020,2,11,0,0.04761146381497383
7020,2,12,0,0.04755393788218498
7020,2,13,0,0.04749641567468643
7020,2,14,0,0.04743888974189758
7020,2,15,0,0.04760906845331192
7020,2,16,0,0.04819047823548317
7020,2,17,0,0.04877189174294472
7020,2,18,0,0.04935329779982567
7020,2,19,0,0.049934711307287216
