Zip,Weekday,Number of Trips
6606,4,1
6830,1,1
6830,2,2
6830,5,1
6870,2,1
6870,6,1
6878,2,1
6897,6,1
6901,6,1
6905,1,2
7002,0,1
7002,1,2
7002,2,1
7002,3,1
7002,4,2
7002,5,4
7002,6,1
7003,3,1
7003,6,1
7005,5,1
7006,1,1
7006,3,1
7006,4,1
7006,5,1
7008,4,1
7009,3,1
7009,5,1
7010,0,1
7010,1,1
7010,2,2
7010,5,3
7010,6,2
7011,5,1
7012,1,1
7012,3,1
7012,4,1
7013,1,1
7013,6,1
7014,0,1
7014,4,1
7014,5,3
7016,1,1
7017,3,1
7018,1,1
7020,0,1
7020,1,1
7020,2,2
7020,4,1
7020,5,1
7020,6,1
7021,4,1
7021,6,1
7022,1,1
7022,3,2
7022,5,1
7023,4,1
7024,1,1
7024,2,1
7024,3,1
7024,5,2
7024,6,1
7026,0,2
7026,1,1
7026,6,2
7027,4,1
7027,5,2
7028,0,2
7028,1,1
7028,3,3
7028,4,1
7028,5,1
7028,6,1
7029,2,2
7030,0,19
7030,1,28
7030,2,25
7030,3,23
7030,4,29
7030,5,68
7030,6,47
7031,5,1
7031,6,1
7032,0,1
7033,4,2
7033,5,1
7036,3,1
7036,5,1
7039,5,1
7040,0,1
7040,2,2
7040,4,1
7040,5,1
7041,2,2
7041,3,1
7042,2,1
7042,5,1
7042,6,1
7043,0,1
7043,3,1
7043,4,1
7043,5,1
7044,4,1
7045,4,1
7046,0,1
7046,2,2
7047,0,3
7047,3,1
7047,4,1
7047,5,2
7047,6,1
7050,4,1
7052,2,2
7052,3,1
7054,1,1
7054,2,2
7054,3,1
7057,3,1
7057,5,1
7058,6,1
7059,3,1
7065,3,2
7066,0,1
7067,0,1
7067,6,1
7068,3,1
7068,4,1
7068,6,2
7069,5,1
7070,0,2
7070,1,1
7070,4,1
7070,5,1
7070,6,3
7072,0,6
7072,1,4
7072,2,1
7072,3,2
7072,4,1
7072,5,3
7072,6,4
7073,0,1
7073,1,1
7073,4,2
7073,5,2
7075,3,1
7075,5,1
7075,6,1
7078,0,2
7078,2,3
7078,4,3
7078,5,1
7079,0,1
7079,1,1
7079,2,1
7079,3,3
7079,4,1
7079,5,2
7081,0,1
7081,1,1
7083,4,1
7086,0,1
7086,1,2
7086,2,3
7086,3,1
7086,4,3
7086,5,3
7086,6,3
7087,1,3
7087,2,2
7087,3,3
7087,4,3
7087,5,6
7087,6,1
7088,3,1
7093,0,2
7093,1,3
7093,2,4
7093,3,1
7093,4,5
7093,5,5
7093,6,4
7094,0,9
7094,1,3
7094,2,1
