Zip,Hour,Number of Trips
6606,8,1
6830,11,2
6830,13,1
6830,20,1
6870,20,1
6870,22,1
6878,22,1
6897,12,1
6901,9,1
6905,8,1
6905,12,1
7002,4,1
7002,11,1
7002,15,2
7002,16,2
7002,17,1
7002,18,3
7002,19,1
7002,22,1
7003,12,1
7003,21,1
7005,23,1
7006,9,1
7006,11,1
7006,16,1
7006,22,1
7008,8,1
7009,0,1
7009,9,1
7010,5,1
7010,7,1
7010,8,2
7010,11,1
7010,14,1
7010,18,1
7010,19,1
7010,20,1
7011,1,1
7012,10,1
7012,19,1
7012,23,1
7013,0,1
7013,21,1
7014,1,1
7014,8,1
7014,9,1
7014,10,1
7014,21,1
7016,21,1
7017,1,1
7018,13,1
7020,2,1
7020,3,1
7020,5,2
7020,7,1
7020,15,1
7020,16,1
7021,16,1
7021,22,1
7022,1,1
7022,2,1
7022,9,1
7022,16,1
7023,0,1
7024,3,1
7024,12,1
7024,19,1
7024,20,1
7024,21,1
7024,22,1
7026,0,1
7026,7,1
7026,11,1
7026,13,1
7026,20,1
7027,0,1
7027,22,1
7027,23,1
7028,4,1
7028,5,1
7028,12,1
7028,16,1
7028,19,1
7028,21,2
7028,22,1
7028,23,1
7029,11,1
7029,21,1
7030,0,17
7030,1,10
7030,2,8
7030,3,6
7030,4,8
7030,5,5
7030,6,4
7030,7,5
7030,8,6
7030,9,3
7030,10,5
7030,11,8
7030,12,6
7030,13,5
7030,14,6
7030,15,5
7030,16,8
7030,17,11
7030,18,14
7030,19,15
7030,20,17
7030,21,26
7030,22,24
7030,23,17
7031,11,1
7031,16,1
7032,21,1
7033,16,1
7033,20,1
7033,22,1
7036,10,1
7036,18,1
7039,18,1
7040,0,1
7040,3,1
7040,20,1
7040,21,1
7040,22,1
7041,13,1
7041,15,1
7041,21,1
7042,0,1
7042,2,1
7042,21,1
7043,5,1
7043,8,1
7043,15,1
7043,17,1
7044,19,1
7045,15,1
7046,15,1
7046,18,1
7046,19,1
7047,5,1
7047,8,1
7047,11,1
7047,14,2
7047,15,1
7047,18,1
7047,20,1
7050,15,1
7052,12,2
7052,17,1
7054,7,1
7054,14,1
7054,17,1
7054,19,1
7057,4,1
7057,9,1
7058,18,1
7059,13,1
7065,14,1
7065,23,1
7066,14,1
7067,3,1
7067,5,1
7068,7,1
7068,12,1
7068,13,1
7068,19,1
7069,7,1
7070,1,1
7070,6,1
7070,10,1
7070,12,1
7070,13,1
7070,17,1
7070,19,2
7072,3,1
7072,8,1
7072,13,1
7072,14,2
7072,16,1
7072,17,2
7072,19,1
7072,21,3
7072,22,6
7072,23,3
7073,2,1
7073,12,1
7073,17,1
7073,18,2
7073,19,1
7075,17,1
7075,18,1
7075,19,1
7078,1,1
7078,12,1
7078,13,2
7078,16,1
7078,20,1
7078,22,2
7078,23,1
7079,5,3
7079,6,1
7079,13,2
7079,21,1
7079,22,1
7079,23,1
7081,6,1
7081,14,1
7083,7,1
7086,2,1
7086,4,1
7086,6,2
7086,7,1
7086,8,1
7086,9,1
7086,16,1
7086,18,2
7086,20,3
7086,22,2
7086,23,1
7087,7,1
7087,8,1
7087,9,1
7087,12,1
7087,13,1
7087,15,3
7087,16,1
7087,17,2
7087,18,1
7087,19,3
7087,20,1
7087,21,1
7087,23,1
7088,15,1
7093,0,2
7093,1,1
7093,2,2
7093,3,2
7093,6,1
7093,8,1
7093,9,2
7093,12,3
7093,13,2
7093,16,1
7093,18,1
7093,19,2
7093,20,2
7093,21,1
7093,22,1
7094,0,2
7094,1,1
7094,5,1
7094,6,2
7094,7,1
7094,9,2
7094,10,1
7094,12,1
7094,13,1
7094,14,4
7094,15,1
7094,16,1
7094,17,2
7094,18,1
7094,20,1
7094,21,2
7094,22,2
7095,13,1
7102,0,1
7102,2,1
7102,3,1
7102,6,1
7102,7,4
7102,8,1
7102,9,1
7102,10,2
7102,11,2
7102,12,2
7102,13,2
7102,14,2
7102,15,4
7102,16,5
7102,17,3
7102,18,1
7102,19,5
7102,20,4
7102,21,2
7102,22,3
7102,23,2
7103,8,2
7103,9,1
7103,14,2
7103,15,1
7103,17,1
7104,15,1
7104,19,1
7104,21,1
7105,1,1
7105,4,1
7105,16,1
7105,19,1
7105,21,1
7107,6,1
7108,5,1
7109,22,1
7110,22,1
7111,13,1
7112,2,1
7112,8,1
7112,17,1
7112,22,1
7114,0,19
7114,1,3
7114,3,4
7114,4,19
7114,5,17
7114,6,19
7114,7,19
7114,8,28
7114,9,26
7114,10,12
7114,11,20
7114,12,35
7114,13,47
7114,14,46
7114,15,52
7114,16,56
7114,17,43
7114,18,42
7114,19,46
7114,20,39
7114,21,52
7114,22,47
7114,23,31
7201,1,1
7201,6,1
7201,8,1
7201,10,1
7201,11,1
7201,13,2
7201,14,1
7201,16,1
7201,17,1
7201,22,1
7201,23,1
7204,4,1
7205,13,1
7206,14,1
7208,0,1
7208,6,1
7208,10,1
7208,22,1
7208,23,1
7302,0,6
7302,1,8
7302,2,2
7302,3,1
7302,4,4
7302,5,2
7302,6,1
7302,7,4
7302,8,2
7302,9,2
7302,10,2
7302,11,1
7302,12,6
7302,13,3
7302,14,4
7302,15,5
7302,16,7
7302,17,6
7302,18,5
7302,19,2
7302,20,5
7302,21,3
7302,22,11
7302,23,6
7304,1,1
